ImeIgraca,ImeKluba,Osnovan,Grad,Dvorana,Kapacitet,Trener,Kapetan,Navijaci
Karlo Uljarević,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Viktor Šarić,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Marcus Taylor,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Noa Svoboda,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Ivan Gulin,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Vigo Bart,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Leon Šljivarić,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Darius Bell,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Nikola Stanojević,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Luka Ćošić,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Filip Miljković,Košarkaški klub DepoLink Škrljevo,1973,Bakar,Dvorana Mavrinci,720,Damir Rajković,Mario Rajčić,
Mateo Vidović,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Toni Ročak,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Mihael Kos,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Andrej Matić,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Issaih Arnold,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Ivan Jurić,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Kenan Karahodžić,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Filip Paponja,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Jean-Francois Rajaofera,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Dario Kuzmanović,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Niko Rimac,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
Filip Kalajžić,Košarkaški klub Dubrava,1976,Zagreb,Športska dvorana Dubrava,1800,Jeronimo Šarin,Mateo Vidović,
